,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
29.0,2.1582281001507346,2.396117985451948,2.3679044334161583,2.6996133849400104,2.8907070994520865,2.479338777272978,2.662019729736599,0.08549739528291983,0.09766945651998814,0.09196155746507483,0.08680477688616889,0.10038980114185656,0.08862131111087522,0.08848791505549758
30.0,2.1552820942684403,2.392104985874503,2.3642345765140527,2.6938443340578235,2.8879316556983334,2.4748343137749567,2.6570400303695467,0.08528187689137436,0.09773153616674499,0.09185452835272796,0.08661298450782721,0.10022927736933035,0.08836749920828979,0.08822800917185482
31.0,2.1528699336389567,2.3884900375878106,2.361118677945688,2.688523189381497,2.885536782150784,2.470888416569666,2.6526723860685895,0.08509890199632368,0.09782258924664089,0.09177338866004202,0.08644146737605816,0.10009673487479635,0.08813804762318361,0.0879885028822341
32.0,2.1509483151180975,2.385235324723289,2.3585086334066956,2.6836132549619673,2.88349068422919,2.467453725950302,2.6488658857183287,0.08494821097698052,0.09794193611476595,0.09171836033478126,0.08629068367508205,0.09999181227549356,0.0879333180164292,0.08776987427464619
33.0,2.1494739355616446,2.382303031412323,2.356356338592725,2.6790778348501503,2.8817615673533172,2.4644828822100484,2.645569618203293,0.08482955759206161,0.0980889273029714,0.09168968918818245,0.0861611124072577,0.09991416685606487,0.0877536995175535,0.08757261599628247
34.0,2.148403491825405,2.37965534178633,2.354613689199385,2.6748802330969355,2.880317636942954,2.461928525642104,2.642732672408083,0.08474270908602179,0.09826294223921184,0.09168764515400152,0.08605325474168087,0.09986347271943577,0.08759960929493597,0.08739723684705032
35.0,2.147693680765165,2.377254439976706,2.3532325809223456,2.670983753753254,2.8791270984178268,2.4597432965396813,2.6403041372172544,0.08468744667838483,0.09846338808652261,0.09171252259919106,0.08596763526978962,0.09983941928925491,0.08747149305678781,0.08724426332444792
36.0,2.147301199236731,2.3750625101148737,2.352164909457229,2.667351700870012,2.8781581571977286,2.457879835195956,2.638233101515376,0.08466356641899433,0.0986896986886471,0.09176464068428122,0.08590480317512653,0.09984171013834973,0.08736982548989666,0.08711424113314126
37.0,2.147182744095876,2.373041736332228,2.35136257049967,2.663947378498118,2.877379018702415,2.4562907819041273,2.636468654187005,0.0846708803909416,0.09894133360787692,0.09184434377227024,0.08586533332584925,0.09987006211869472,0.08729511064368436,0.08700773667369814
38.0,2.1472950121984358,2.371154302760166,2.3507774597453146,2.6607340906884747,2.8767578883516545,2.4549287769574137,2.634959884116728,0.08470921824261823,0.09921777723963554,0.09195200188546417,0.08584982729976372,0.09992420476999749,0.08724788226752317,0.0869253385258458
39.0,2.147594700400175,2.3693623935300936,2.3503614728898103,2.657675141492024,2.876262971565217,2.4537464606489676,2.6336558801890875,0.08477842903080039,0.09951853798771974,0.09208801121020126,0.08585891435257603,0.10000387998618651,0.08722870410944729,0.08686765894232909
