,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
29.0,2.1623054120780965,2.3851922868808533,2.3608461663415055,2.6988771475624205,2.8902602972125218,2.4731194323306496,2.6560609167617684,0.08551366519973522,0.09812617927018195,0.0926530051972095,0.08739977077624339,0.10032134883538144,0.08929251851758166,0.08910785665981573
30.0,2.159359406195792,2.381179287303405,2.3571763094394034,2.6931080966802345,2.887484853458779,2.4686149688326227,2.651081217394713,0.08529803521085727,0.09818665403886083,0.09254543554200947,0.08720676425280997,0.10015958526250039,0.08903798489789509,0.08884677884095296
31.0,2.1569472455663092,2.3775643390167156,2.354060410871037,2.6877869520039153,2.885089979911216,2.4646690716273314,2.6467135730937517,0.08511494754516681,0.09827625270048103,0.0924639937667322,0.08703421259421067,0.10002589682121893,0.08880801700640019,0.08860630810504404
32.0,2.1550256270454513,2.3743096261521837,2.351450366332051,2.6828770175843903,2.8830438819896202,2.4612343810079627,2.6429070727434847,0.08496414935684997,0.09839430033375178,0.09240889843387803,0.08688257399650239,0.0999199216021017,0.08860297380101978,0.0883869203785006
33.0,2.1535512474889984,2.371377332841226,2.3492980715180796,2.67834159747256,2.881314765113766,2.4582635372677095,2.6396108052284633,0.08484540077185874,0.09854015213750733,0.09238039214111211,0.08675232774892085,0.09984131625119774,0.08842324201789445,0.0881891064925086
34.0,2.152480803752756,2.368729643215234,2.347555422124733,2.6741439957193567,2.879870834703389,2.4557091806997695,2.6367738594332524,0.08475847498549376,0.09871319213861705,0.092378741771329,0.08664397561729587,0.09978975407686758,0.08826923675325983,0.0880133737867493
35.0,2.151770992692511,2.3663287414056158,2.3461743138476905,2.670247516375677,2.8786802961782794,2.453523951597349,2.634345324242427,0.0847031587515471,0.0989128320232786,0.09240423879525556,0.08655804313109952,0.09976492351751275,0.08814140197455808,0.08786024766296634
36.0,2.1513785111640833,2.36413681154378,2.345106642382575,2.6666154634924246,2.8777113549581714,2.4516604902536225,2.6322742885405455,0.08467925324577975,0.09913851007871688,0.0924571996246081,0.0864950807813174,0.0997665269445238,0.08804021096766584,0.08773027310160113
37.0,2.1512600560232378,2.3621160377611323,2.344304303425035,2.663211141120526,2.876932216462869,2.4500714369617924,2.630509841212178,0.08468657528546733,0.09938969023087518,0.0925379660145358,0.08645566513771337,0.0997942797758012,0.08796616672767646,0.08762401615578762
38.0,2.1513723241257887,2.360228604189071,2.343719192670675,2.6599978533109008,2.876311086112089,2.4487094320150598,2.62900107114189,0.08472495888644445,0.0996658611626685,0.0926469055146987,0.0864403998951815,0.09984790987678865,0.08791980230104449,0.08754206543790148
