,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
29.0,2.154150788223389,2.4070436840230496,2.3749627004908,2.7003496223175985,2.8911539016916348,2.4855581222153136,2.667978542711444,0.08548215087440168,0.09722058684044527,0.0912763387753372,0.08621485486606636,0.10046924274439492,0.08795780956935605,0.0878708077374011
30.0,2.1512047823410936,2.403030684445603,2.3712928435886993,2.6945805714354107,2.8883784579378915,2.481053658717298,2.662998843344382,0.08526675657379035,0.09728423016793648,0.09116984459066688,0.08602426832124288,0.10030993054002736,0.08770469087273475,0.08761206184676171
31.0,2.1487926217116082,2.399415736158909,2.36817694502034,2.6892594267590844,2.885983584390332,2.4771077615120047,2.658631199043429,0.08508390601096345,0.09737669768126012,0.09108900301529806,0.08585377909613501,0.10017850825706366,0.08747572925415419,0.08737350902556812
32.0,2.146871003190745,2.396161023294382,2.3655669004813418,2.6843494923395594,2.8839374864687506,2.4736730708926276,2.654824698693153,0.08493333275948081,0.09749730514194473,0.09103403927194834,0.08570384535101096,0.10007461517141662,0.0872712891695805,0.08715562959230448
33.0,2.1453966236342894,2.393228729983424,2.3634146056673613,2.6798140722277397,2.8822083695928726,2.47070222715239,2.6515284311781326,0.08481478418319416,0.09764539854687353,0.09100520227756104,0.08557494578682463,0.09999790933815751,0.08709176223060269,0.08695891807529305
34.0,2.144326179898052,2.3905810403574312,2.361671956274034,2.6756164704745244,2.880764439182509,2.4681478705844406,2.6486914853829227,0.08472802155065196,0.09782035285927757,0.09100276491117351,0.08546758095882855,0.09994806578604963,0.08693756776300442,0.08678388479598734
35.0,2.1436163688378196,2.3881801385478236,2.3602908479969935,2.6717199911308485,2.8795739006573915,2.4659626414820153,2.646262950192091,0.08467282052408535,0.09802157085553602,0.09102702433252195,0.08538227450063797,0.09992477505433726,0.08680915329774234,0.08663105740518534
36.0,2.143223887309374,2.3859882086859816,2.359223176531874,2.6680879382476004,2.8786049594372907,2.4640991801382888,2.6441919144902144,0.0846489720058561,0.09824848207480498,0.09107830234950834,0.08531957426585116,0.09992774204639178,0.08670699500141056,0.0865009823856663
37.0,2.1431054321685297,2.383967434903335,2.358420837574319,2.664683615875702,2.8778258209419767,2.462510126846478,2.6424274671618413,0.08465628332415724,0.09850054185703087,0.09115694583340903,0.08528005339583833,0.09995668517588151,0.08663159805385977,0.0863942265358687
38.0,2.14321770027108,2.3820800013312655,2.3578357268199635,2.661470328066072,2.877204690591223,2.4611481218997393,2.6409186970915584,0.08469457973943778,0.09877723045385547,0.09126332718134858,0.08526431132355106,0.10001133578275406,0.08658349698104507,0.08631137845014801
